Model,mlp.lins.0.bias,mlp.lins.0.weight,mlp.lins.1.bias,mlp.lins.1.weight,mlp.lins.2.bias,mlp.lins.2.weight,mlp.norms.0.module.bias,mlp.norms.0.module.num_batches_tracked,mlp.norms.0.module.running_mean,mlp.norms.0.module.running_var,mlp.norms.0.module.weight,mlp.norms.1.module.bias,mlp.norms.1.module.num_batches_tracked,mlp.norms.1.module.running_mean,mlp.norms.1.module.running_var,mlp.norms.1.module.weight,sa1_module.conv.local_nn.lins.0.bias,sa1_module.conv.local_nn.lins.0.weight,sa1_module.conv.local_nn.lins.1.bias,sa1_module.conv.local_nn.lins.1.weight,sa1_module.conv.local_nn.lins.2.bias,sa1_module.conv.local_nn.lins.2.weight,sa1_module.conv.local_nn.norms.0.module.bias,sa1_module.conv.local_nn.norms.0.module.num_batches_tracked,sa1_module.conv.local_nn.norms.0.module.running_mean,sa1_module.conv.local_nn.norms.0.module.running_var,sa1_module.conv.local_nn.norms.0.module.weight,sa1_module.conv.local_nn.norms.1.module.bias,sa1_module.conv.local_nn.norms.1.module.num_batches_tracked,sa1_module.conv.local_nn.norms.1.module.running_mean,sa1_module.conv.local_nn.norms.1.module.running_var,sa1_module.conv.local_nn.norms.1.module.weight,sa2_module.conv.local_nn.lins.0.bias,sa2_module.conv.local_nn.lins.0.weight,sa2_module.conv.local_nn.lins.1.bias,sa2_module.conv.local_nn.lins.1.weight,sa2_module.conv.local_nn.lins.2.bias,sa2_module.conv.local_nn.lins.2.weight,sa2_module.conv.local_nn.norms.0.module.bias,sa2_module.conv.local_nn.norms.0.module.num_batches_tracked,sa2_module.conv.local_nn.norms.0.module.running_mean,sa2_module.conv.local_nn.norms.0.module.running_var,sa2_module.conv.local_nn.norms.0.module.weight,sa2_module.conv.local_nn.norms.1.module.bias,sa2_module.conv.local_nn.norms.1.module.num_batches_tracked,sa2_module.conv.local_nn.norms.1.module.running_mean,sa2_module.conv.local_nn.norms.1.module.running_var,sa2_module.conv.local_nn.norms.1.module.weight,sa3_module.nn.lins.0.bias,sa3_module.nn.lins.0.weight,sa3_module.nn.lins.1.bias,sa3_module.nn.lins.1.weight,sa3_module.nn.lins.2.bias,sa3_module.nn.lins.2.weight,sa3_module.nn.norms.0.module.bias,sa3_module.nn.norms.0.module.num_batches_tracked,sa3_module.nn.norms.0.module.running_mean,sa3_module.nn.norms.0.module.running_var,sa3_module.nn.norms.0.module.weight,sa3_module.nn.norms.1.module.bias,sa3_module.nn.norms.1.module.num_batches_tracked,sa3_module.nn.norms.1.module.running_mean,sa3_module.nn.norms.1.module.running_var,sa3_module.nn.norms.1.module.weight
pointnet++_EPOCH_0_classifier.pth,-0.0026961606927216053,0.013012959621846676,0.00273705436848104,0.02093195728957653,0.046174056828022,0.004345073830336332,-0.012322754599153996,26,0.2809145748615265,0.27385300397872925,0.9808297753334045,0.0275920070707798,26,-0.5238366723060608,0.7687590718269348,1.0275505781173706,0.28094562888145447,-0.27626973390579224,-0.05411330983042717,-0.047112591564655304,0.07110941410064697,-0.07077187299728394,-0.006765364203602076,26,-643.1823120117188,131867.75,0.9754542112350464,-0.0041327704675495625,26,-0.22322027385234833,0.11349444836378098,0.9742199182510376,8.77208512974903e-05,0.030600078403949738,-0.023017968982458115,-0.030176086351275444,-0.014314953237771988,-0.020182102918624878,-0.002897073747590184,26,0.06625682860612869,0.10842647403478622,0.9740651249885559,-0.0005868281587027013,26,-0.14520762860774994,0.10823962092399597,0.97414630651474,0.02004101499915123,0.013262995518743992,-0.010668107308447361,0.017702708020806313,-0.001275654067285359,0.013346227817237377,-0.0075034876354038715,26,10415.994140625,19077.087890625,0.9866147041320801,-0.0023918263614177704,26,-0.012082180008292198,0.3917126953601837,0.9894723296165466
pointnet++_EPOCH_100_classifier.pth,8.274098917127048e-08,0.006796663161367178,3.088278077711948e-08,0.018387876451015472,0.002346205525100231,-0.04127016291022301,-0.02099384367465973,2626,0.24899980425834656,0.0723535418510437,0.8159354329109192,0.07448907196521759,2626,-1.183413028717041,0.8986439108848572,1.0389080047607422,0.05840933695435524,-0.055432356894016266,-1.2273870808598986e-08,-4.355849341663998e-06,2.9167811135266675e-06,-4.515498858381761e-06,-3.554132126737386e-05,2626,-135.15892028808594,5260.00048828125,0.6891818642616272,-2.9522710807332406e-15,2626,9.669215796748176e-05,5.800499138786108e-07,0.6847983598709106,1.4444290722127523e-17,-2.2320834687939578e-13,1.1713402898875966e-16,-9.44954603454562e-09,-2.6652225565415577e-11,-2.1959586926634245e-12,2.5515702831852005e-12,2626,-5.1833688452518345e-09,1.9251904146955123e-17,0.6844457387924194,-6.940135857495811e-13,2626,3.728375830291952e-08,9.908255991933693e-15,0.6846553087234497,-1.800361193460276e-09,-2.914415060738078e-14,1.7375091643234697e-10,0.010800175368785858,1.1347805184414028e-06,0.0061926404014229774,-0.006770579610019922,2626,8209.4658203125,19850.787109375,0.8031971454620361,-0.0029599505942314863,2626,-0.050776392221450806,0.2714656591415405,0.799578845500946
pointnet++_EPOCH_101_classifier.pth,8.25846626639759e-08,0.006796639878302813,3.095066247738032e-08,0.018387913703918457,0.0023461179807782173,-0.04127025976777077,-0.020993854850530624,2652,0.249639093875885,0.0696578174829483,0.8159354329109192,0.07448907196521759,2652,-1.1680676937103271,0.9054880738258362,1.0389080047607422,0.0584089495241642,-0.055431969463825226,-1.2272646898736639e-08,-4.355541932454798e-06,2.9165630621719174e-06,-4.515175987762632e-06,-3.553980786819011e-05,2652,-134.68748474121094,5281.53759765625,0.6891818642616272,-2.9383462825968536e-15,2652,9.721771493786946e-05,5.801583142783784e-07,0.6847983598709106,1.3689540525551476e-17,-2.2319055241123986e-13,1.171220778832695e-16,-9.448616111740193e-09,-2.666031284626058e-11,-2.1946754309720706e-12,2.5448714316422816e-12,2652,-5.188677043577172e-09,1.9184990198483258e-17,0.6844457387924194,-7.066067024032174e-13,2652,3.7265273533648724e-08,9.874311993605424e-15,0.6846553087234497,-1.7997360268751095e-09,-2.9145922600306434e-14,1.82387924207994e-10,0.010800182819366455,1.1340433729856159e-06,0.006192662287503481,-0.006770592648535967,2652,8213.7734375,15223.845703125,0.8031971454620361,-0.00295990495942533,2652,-0.05238661915063858,0.25015100836753845,0.799578845500946
pointnet++_EPOCH_102_classifier.pth,8.199841516898232e-08,0.006796602159738541,3.10113144053048e-08,0.018387891352176666,0.0023460304364562035,-0.04127035662531853,-0.020993901416659355,2678,0.2564219534397125,0.05919912829995155,0.8159354329109192,0.07448908686637878,2678,-1.1684849262237549,0.8906341195106506,1.0389080047607422,0.05840856209397316,-0.055431582033634186,-1.22714007844138e-08,-4.355234523245599e-06,2.916344328696141e-06,-4.5148449316911865e-06,-3.553822170943022e-05,2678,-134.38043212890625,5372.1396484375,0.6891818642616272,-2.938226427434817e-15,2678,9.74387803580612e-05,5.77871958284959e-07,0.6847983598709106,1.3539715782741584e-17,-2.2315344559188655e-13,1.170708985644096e-16,-9.447669313544793e-09,-2.6637761441072882e-11,-2.194547278275283e-12,2.5432113012757718e-12,2678,-5.186397089573802e-09,1.9284781267581655e-17,0.6844457387924194,-7.060122885621523e-13,2678,3.722364638747422e-08,9.832790438531018e-15,0.6846553087234497,-1.799148052761268e-09,-2.9095934103891274e-14,1.8845558447111443e-10,0.010800144635140896,1.1369090771040646e-06,0.00619263481348753,-0.006770562380552292,2678,8210.4833984375,17815.37109375,0.8031971454620361,-0.002959834411740303,2678,-0.05340714380145073,0.25355497002601624,0.799578845500946
pointnet++_EPOCH_103_classifier.pth,8.240220239486007e-08,0.006796577945351601,3.1034435465926435e-08,0.018387898802757263,0.002345938701182604,-0.04127045348286629,-0.02099386416375637,2704,0.24957527220249176,0.06453601270914078,0.8159354329109192,0.07448910176753998,2704,-1.1711910963058472,0.9068343043327332,1.0389080047607422,0.05840817466378212,-0.055431194603443146,-1.2270139571057825e-08,-4.35491710959468e-06,2.916120138252154e-06,-4.514513875619741e-06,-3.553661372279748e-05,2704,-134.30210876464844,5446.3876953125,0.6891818642616272,-2.9382528972144188e-15,2704,9.819702972890809e-05,5.769267090727226e-07,0.6847983598709106,1.2958023350840206e-17,-2.2311631166747892e-13,1.170362893275804e-16,-9.446711857208356e-09,-2.6616379239507992e-11,-2.1943857321515825e-12,2.5414195487655222e-12,2704,-5.204650932455479e-09,1.921698223585436e-17,0.6844457387924194,-7.051646593037031e-13,2704,3.708942131197546e-08,9.786098594346572e-15,0.6846553087234497,-1.7987236144989538e-09,-2.903999943618639e-14,1.924135156761153e-10,0.010800131596624851,1.1405364830352482e-06,0.0061927009373903275,-0.006770510226488113,2704,8217.4931640625,17400.859375,0.8031971454620361,-0.0029598362743854523,2704,-0.05136791244149208,0.2487793117761612,0.799578845500946
pointnet++_EPOCH_104_classifier.pth,8.246232852116009e-08,0.006796550005674362,3.1439796543963894e-08,0.018387941643595695,0.002345849759876728,-0.04127055034041405,-0.020993877202272415,2730,0.2598808705806732,0.06666160374879837,0.8159354329109192,0.07448909431695938,2730,-1.174649715423584,0.9782967567443848,1.0389080047607422,0.05840778723359108,-0.055430807173252106,-1.2268864146847136e-08,-4.354597876954358e-06,2.915895493060816e-06,-4.514175088843331e-06,-3.553500573616475e-05,2730,-133.25340270996094,5437.234375,0.6891818642616272,-2.9357202687021284e-15,2730,9.886911720968783e-05,5.753217351411877e-07,0.6847983598709106,1.1743481502054109e-17,-2.2307974694921184e-13,1.1709339787707105e-16,-9.445741966374044e-09,-2.6606460090672357e-11,-2.1940290296368348e-12,2.539007198931742e-12,2730,-5.214195297753577e-09,1.9252650263867646e-17,0.6844457387924194,-7.069307704325734e-13,2730,3.7135897912321525e-08,9.693633089692504e-15,0.6846553087234497,-1.7987624723048157e-09,-2.90286119252435e-14,1.977905894623433e-10,0.010800082236528397,1.142086830441258e-06,0.006192715838551521,-0.0067705134861171246,2730,8197.4736328125,15849.5615234375,0.8031971454620361,-0.0029598777182400227,2730,-0.050890788435935974,0.25023332238197327,0.799578845500946
pointnet++_EPOCH_105_classifier.pth,8.261859107960845e-08,0.006796536035835743,3.1181048854023174e-08,0.01838797517120838,0.0023457538336515427,-0.04127064719796181,-0.020993851125240326,2756,0.2459729015827179,0.060034047812223434,0.8159354329109192,0.07448909431695938,2756,-1.1793333292007446,0.8302482962608337,1.0389080047607422,0.05840739980340004,-0.055430419743061066,-1.2267570959068053e-08,-4.354277280071983e-06,2.9156649361539166e-06,-4.513832209340762e-06,-3.5533397749532014e-05,2756,-134.18572998046875,5363.82470703125,0.6891818642616272,-2.93407469544385e-15,2756,9.754026541486382e-05,5.770352231593279e-07,0.6847983598709106,1.1312796681238574e-17,-2.2303313980832212e-13,1.1706336791211293e-16,-9.444756088328177e-09,-2.659023348727807e-11,-2.1930491277133424e-12,2.5399975091960902e-12,2756,-5.1845563397989736e-09,1.9128109950841662e-17,0.6844457387924194,-7.052592559432524e-13,2756,3.709944706997703e-08,9.823239295017779e-15,0.6846553087234497,-1.7993221357315292e-09,-2.899170161753395e-14,1.9712720344955414e-10,0.010800031945109367,1.1379818261048058e-06,0.006192710716277361,-0.006770540028810501,2756,8209.7529296875,18285.10546875,0.8031971454620361,-0.0029598285909742117,2756,-0.05148846656084061,0.25183919072151184,0.799578845500946
pointnet++_EPOCH_106_classifier.pth,8.292500552897764e-08,0.0067965248599648476,2.9942384571768343e-08,0.01838797889649868,0.002345661399886012,-0.04127074405550957,-0.020993825048208237,2782,0.23777376115322113,0.06315773725509644,0.8159354329109192,0.07448913156986237,2782,-1.1716691255569458,0.8847441673278809,1.0389080047607422,0.058407012373209,-0.055430032312870026,-1.2266256455006896e-08,-4.353946224000538e-06,2.9154339244996663e-06,-4.513487965596141e-06,-3.5531746107153594e-05,2782,-133.23240661621094,5351.4375,0.6891818642616272,-2.919430978093481e-15,2782,9.889188368106261e-05,5.766916046923143e-07,0.6847983598709106,1.1621534400248479e-17,-2.2299370195429796e-13,1.170441376172323e-16,-9.443763104854952e-09,-2.6569094146999817e-11,-2.1914085129859373e-12,2.5390462302099515e-12,2782,-5.200882835509901e-09,1.9252948048888165e-17,0.6844457387924194,-7.094386384777496e-13,2782,3.6953821336283e-08,9.717137406945863e-15,0.6846553087234497,-1.7987199507629725e-09,-2.903242357350615e-14,1.9975364418112207e-10,0.010800013318657875,1.134051444751094e-06,0.006192752160131931,-0.006770553532987833,2782,8217.4541015625,16968.482421875,0.8031971454620361,-0.002959892153739929,2782,-0.05217902362346649,0.24189868569374084,0.799578845500946
pointnet++_EPOCH_107_classifier.pth,8.270632889662011e-08,0.006796543952077627,2.9849172022977655e-08,0.01838787831366062,0.002345564542338252,-0.04127084091305733,-0.02099383808672428,2808,0.2430252730846405,0.06072937324643135,0.8159354329109192,0.07448913156986237,2808,-1.1736809015274048,0.9483121633529663,1.0389080047607422,0.05840662494301796,-0.055429644882678986,-1.2264925963734186e-08,-4.353615167929092e-06,2.9151974558772054e-06,-4.51313326266245e-06,-3.5530043533071876e-05,2808,-133.59527587890625,5358.65283203125,0.6891818642616272,-2.9167164492557678e-15,2808,9.839155245572329e-05,5.766356139247364e-07,0.6847983598709106,1.20995968178286e-17,-2.2296349337126709e-13,1.1708429227288807e-16,-9.442747916921235e-09,-2.65289751971709e-11,-2.1902119874683823e-12,2.535609959844476e-12,2808,-5.209401354733245e-09,1.9227727312011423e-17,0.6844457387924194,-7.138332893535937e-13,2808,3.711837948117136e-08,9.728983162713215e-15,0.6846553087234497,-1.7986176992224046e-09,-2.8997610519373995e-14,2.0660884114676037e-10,0.010800047777593136,1.1375904023225303e-06,0.006192800123244524,-0.006770548410713673,2808,8204.77734375,17097.458984375,0.8031971454620361,-0.0029599072877317667,2808,-0.05305019021034241,0.2569867670536041,0.799578845500946
pointnet++_EPOCH_108_classifier.pth,8.306868437557569e-08,0.00679652439430356,2.9250964317384387e-08,0.01838790252804756,0.002345466986298561,-0.04127093777060509,-0.020993804559111595,2834,0.25071749091148376,0.06235526129603386,0.8159354329109192,0.07448914647102356,2834,-1.1790246963500977,0.8638028502464294,1.0389080047607422,0.05840623751282692,-0.055429257452487946,-1.226357948524992e-08,-4.3532782001420856e-06,2.9149596230126917e-06,-4.512778559728758e-06,-3.552834095899016e-05,2834,-135.9366455078125,5235.923828125,0.6891818642616272,-2.9240955885340104e-15,2834,9.651079017203301e-05,5.806103331451595e-07,0.6847983598709106,1.1550937016508915e-17,-2.2292139922192034e-13,1.170879451024731e-16,-9.44172562356016e-09,-2.6525876981042806e-11,-2.190269016502655e-12,2.5357485208821195e-12,2834,-5.1660746791526435e-09,1.9203042588171615e-17,0.6844457387924194,-7.119405434109771e-13,2834,3.704411710714339e-08,1.0185692316444419e-14,0.6846553087234497,-1.7985166689271637e-09,-2.9011434097073185e-14,2.0579757342709115e-10,0.010800025425851345,1.1415943390602479e-06,0.006192836444824934,-0.006770571693778038,2834,8224.494140625,14568.7890625,0.8031971454620361,-0.0029598467517644167,2834,-0.051274459809064865,0.24085046350955963,0.799578845500946
